당연,하,A,+,노리,학생,강의,내용,다,듣,적,되,듯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교수,님,목소리,약간,졸리,알,것,많,조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
처음,숙제,아마,대면,강의,발표,있,용가,있,거기,교수,점수,따시,강의,시간,질문,대하,열,정적,답,하,중간,기말,조지,안,A,+,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가르치,것,없이,발표,하나,끝,내,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중학교,고등학교,기초,내,강의,반,듣,느낌,딴,길,자주,새,버리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,내용,풍부,재미있,발음,안,좋,강의,력,떨어지,것,가장,아쉽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전공,중,처음,받,본,A,,다른,과목,하,생각하,점수,생각,잘,나오,법,대하,흥미,생기,것,사실,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개인적,재귀,함수,부분,잘,모르,많,도움,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일단,저,영어,못,하,질문,하,하,학생,그냥,학점,망치,것,각오,있,그래도,대,박이,것,같,요,매번,분위기,띄우,주,선배,들,말,들,보,학점,+,채우,주,하,에릭,착하,하,영어,익숙,하,분,들,꼭,추천,하,수,업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교수,님,착하,시키,것,많,학점,다,+,다,채우,주,듯,B,이,교수,님,강의,배정,받,것,복,받,것,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중간,시험,어렵,편,처음,힘들,수도,있,기말,비슷,하,나,도라,하,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
